Protein_ID	gene
evm.model.Ap11.1206	evm.TU.Ap11.1206
evm.model.Ap11.1207	evm.TU.Ap11.1207
evm.model.Ap11.1200	evm.TU.Ap11.1200
evm.model.Ap11.1202	evm.TU.Ap11.1202
evm.model.Ap11.1203	evm.TU.Ap11.1203
evm.model.Ap11.112	evm.TU.Ap11.112
evm.model.Ap11.113	evm.TU.Ap11.113
evm.model.Ap11.110	evm.TU.Ap11.110
evm.model.Ap11.111	evm.TU.Ap11.111
evm.model.Ap11.116	evm.TU.Ap11.116
evm.model.Ap11.117	evm.TU.Ap11.117
evm.model.Ap11.114	evm.TU.Ap11.114
evm.model.Ap11.115	evm.TU.Ap11.115
evm.model.Ap11.118	evm.TU.Ap11.118
evm.model.Ap11.119	evm.TU.Ap11.119
evm.model.Ap11.1678	evm.TU.Ap11.1678
evm.model.Ap11.875	evm.TU.Ap11.875
evm.model.Ap11.874	evm.TU.Ap11.874
evm.model.Ap11.877	evm.TU.Ap11.877
evm.model.Ap11.876	evm.TU.Ap11.876
evm.model.Ap11.871	evm.TU.Ap11.871
evm.model.Ap11.870	evm.TU.Ap11.870
evm.model.Ap11.873	evm.TU.Ap11.873
evm.model.Ap11.872	evm.TU.Ap11.872
evm.model.Ap11.879	evm.TU.Ap11.879
evm.model.Ap11.878	evm.TU.Ap11.878
evm.model.Ap11.1415	evm.TU.Ap11.1415
evm.model.Ap11.1417	evm.TU.Ap11.1417
evm.model.Ap11.1416	evm.TU.Ap11.1416
evm.model.Ap11.1413	evm.TU.Ap11.1413
evm.model.Ap11.1412	evm.TU.Ap11.1412
evm.model.Ap11.43	evm.TU.Ap11.43
evm.model.Ap11.42	evm.TU.Ap11.42
evm.model.Ap11.41	evm.TU.Ap11.41
evm.model.Ap11.40	evm.TU.Ap11.40
evm.model.Ap11.47	evm.TU.Ap11.47
evm.model.Ap11.46	evm.TU.Ap11.46
evm.model.Ap11.45	evm.TU.Ap11.45
evm.model.Ap11.44	evm.TU.Ap11.44
evm.model.Ap11.49	evm.TU.Ap11.49
evm.model.Ap11.48	evm.TU.Ap11.48
evm.model.Ap11.321	evm.TU.Ap11.321
evm.model.Ap11.320	evm.TU.Ap11.320
evm.model.Ap11.323	evm.TU.Ap11.323
evm.model.Ap11.325	evm.TU.Ap11.325
