Protein_ID,Fishers
Xe_001318,0
Xe_001319,0
Xe_001320,0
Xe_001321,0
Xe_001322,0
Xe_001323,0
Xe_001324,0
Xe_001325,0
Xe_001326,0
Xe_001327,0
Xe_001328,0
Xe_001329,0
Xe_001330,0
Xe_001331,0
Xe_001332,0
Xe_001333,0
Xe_001334,0
Xe_001335,0
Xe_001336,0
Xe_001337,0
Xe_001338,0
Xe_001339,0
Xe_001340,0
Xe_001341,0
Xe_001342,0
Xe_001343,0
Xe_001344,0
Xe_001345,0
Xe_001346,0
Xe_001347,0
Xe_001348,0
Xe_001349,0
Xe_001350,0
Xe_001351,0
Xe_001352,0
Xe_001353,0
Xe_001354,0
Xe_001355,0
Xe_001356,0
Xe_001357,0
Xe_001358,0
Xe_001359,0
Xe_001360,0
Xe_001361,0
Xe_001363,0
Xe_001364,0
Xe_001365,0
Xe_001366,0
Xe_001367,0
Xe_001368,0
Xe_001369,0
Xe_001370,0
Xe_001371,0
Xe_001372,0
Xe_001373,0
Xe_001374,0
Xe_001375,0
Xe_001376,0
Xe_001377,0
Xe_001378,0
Xe_001379,0
Xe_001380,0
Xe_001381,0
Xe_001382,0
Xe_001383,0
Xe_001384,0
Xe_001385,0
Xe_001386,0
Xe_001387,0
Xe_001388,0
Xe_001389,0
Xe_001390,0
Xe_001391,0
Xe_001392,0
Xe_001393,0
Xe_001394,0
Xe_028821,0
Xe_028822,0
Xe_001395,0
Xe_001396,0
Xe_001397,0
Xe_001398,0
Xe_001399,0
Xe_001400,0
Xe_001401,0
Xe_001402,0
Xe_001403,0
Xe_001404,0
Xe_001405,0
Xe_001406,0
Xe_001407,0
Xe_001408,0
Xe_001409,0
Xe_001410,0
Xe_001411,0
Xe_001412,0
Xe_001413,0
Xe_001414,0
Xe_001415,0
Xe_001416,0
Xe_001417,0
Xe_001418,0
Xe_001419,0
Xe_028823,0
Xe_001420,0
Xe_001421,0
Xe_001422,0
Xe_001423,0
Xe_001424,0
Xe_001425,0
Xe_001426,0
Xe_001427,0
Xe_001428,0
Xe_001429,0
Xe_001430,0
Xe_001431,0
Xe_001432,0
Xe_001433,0
Xe_001434,0
Xe_001435,0
Xe_001436,0
Xe_001437,0
Xe_001438,0
Xe_001439,0
Xe_001440,0
Xe_001441,0
Xe_001442,0
Xe_001443,0
Xe_001444,0
Xe_001445,0
Xe_001446,0
Xe_001447,0
Xe_001448,0
Xe_001449,0
Xe_001450,0
Xe_001451,0
Xe_001452,0
