Protein_ID,Fishers_oculina
evm.model.Ap11.1865,0
evm.model.Ap11.1866,0
evm.model.Ap11.1867,0
evm.model.Ap11.1860,0
evm.model.Ap11.1861,0
evm.model.Ap11.1862,0
evm.model.Ap11.1863,0
evm.model.Ap11.930,0
evm.model.Ap11.931,0
evm.model.Ap11.932,0
evm.model.Ap11.933,0
evm.model.Ap11.934,0
evm.model.Ap11.935,0
evm.model.Ap11.936,0
evm.model.Ap11.937,0
evm.model.Ap11.938,0
evm.model.Ap11.939,0
evm.model.Ap11.1510,0
evm.model.Ap11.1511,0
evm.model.Ap11.1512,0
evm.model.Ap11.1513,0
evm.model.Ap11.1514,0
evm.model.Ap11.1515,0
evm.model.Ap11.1516,0
evm.model.Ap11.1518,0
evm.model.Ap11.1519,0
evm.model.Ap11.208,0
evm.model.Ap11.206,0
evm.model.Ap11.207,0
evm.model.Ap11.204,0
evm.model.Ap11.205.1.5f15dbbf,0
evm.model.Ap11.205,0
evm.model.Ap11.202,0
evm.model.Ap11.203,0
evm.model.Ap11.200,0
evm.model.Ap11.201,0
evm.model.Ap11.761,0
evm.model.Ap11.760,0
evm.model.Ap11.762,0
evm.model.Ap11.765,0
evm.model.Ap11.764,0
evm.model.Ap11.767,0
evm.model.Ap11.1701,0
evm.model.Ap11.1700,0
evm.model.Ap11.1703,0
evm.model.Ap11.1702,0
evm.model.Ap11.1705,0
evm.model.Ap11.1704,0
evm.model.Ap11.1707,0
evm.model.Ap11.1706,0
evm.model.Ap11.1709,0
evm.model.Ap11.1708,0
evm.model.Ap11.1517,0
evm.model.Ap11.209,0
evm.model.Ap11.518,0
evm.model.Ap11.519,0
evm.model.Ap11.516,0
evm.model.Ap11.517,0
evm.model.Ap11.514,0
evm.model.Ap11.515,0
evm.model.Ap11.512,0
evm.model.Ap11.513,0
evm.model.Ap11.510,0
evm.model.Ap11.511,0
evm.model.Ap11.1619,0
evm.model.Ap11.1618,0
evm.model.Ap11.1617,0
evm.model.Ap11.1616,0
evm.model.Ap11.286,0
evm.model.Ap11.287,0
evm.model.Ap11.284,0
evm.model.Ap11.285,0
evm.model.Ap11.282,0
evm.model.Ap11.283,0
evm.model.Ap11.280,0
evm.model.Ap11.281,0
evm.model.Ap11.288,0
evm.model.Ap11.289,0
evm.model.Ap11.1909,0
evm.model.Ap11.1908,0
evm.model.Ap11.1907,0
evm.model.Ap11.1906,0
evm.model.Ap11.1905,0
evm.model.Ap11.1904,0
evm.model.Ap11.1903,0
evm.model.Ap11.1902,0
evm.model.Ap11.1902.1.5f15df62,0
evm.model.Ap11.1901,0
evm.model.Ap11.1900,0
evm.model.Ap11.1011,0
evm.model.Ap11.1010,0
evm.model.Ap11.1013,0
evm.model.Ap11.1012,0
evm.model.Ap11.1015,0
evm.model.Ap11.1014,0
evm.model.Ap11.1017,0
evm.model.Ap11.1016,0
evm.model.Ap11.1019,0
evm.model.Ap11.1018,0
evm.model.Ap11.1253,0
evm.model.Ap11.1252,0
evm.model.Ap11.1251,0
evm.model.Ap11.1250,0
evm.model.Ap11.1257,0
evm.model.Ap11.1256,0
evm.model.Ap11.1255,0
evm.model.Ap11.1254,0
evm.model.Ap11.1259,0
evm.model.Ap11.1258,0
evm.model.Ap11.1785,0
evm.model.Ap11.1784,0
evm.model.Ap11.1786,0
evm.model.Ap11.129,0
evm.model.Ap11.128,0
evm.model.Ap11.123,0
evm.model.Ap11.122,0
evm.model.Ap11.121,0
evm.model.Ap11.127,0
evm.model.Ap11.126,0
evm.model.Ap11.125,0
evm.model.Ap11.435,0
evm.model.Ap11.828,0
evm.model.Ap11.829,0
evm.model.Ap11.826,0
evm.model.Ap11.827,0
evm.model.Ap11.824,0
evm.model.Ap11.825,0
evm.model.Ap11.822,0
evm.model.Ap11.823,0
evm.model.Ap11.820,0
evm.model.Ap11.821,0
evm.model.Ap11.437,0
evm.model.Ap11.436,0
evm.model.Ap11.431,0
evm.model.Ap11.430,0
evm.model.Ap11.433,0
evm.model.Ap11.90,0
evm.model.Ap11.91,0
evm.model.Ap11.92,0
evm.model.Ap11.93,0
evm.model.Ap11.94,0
evm.model.Ap11.95,0
evm.model.Ap11.96,0
evm.model.Ap11.97,0
evm.model.Ap11.1424,0
evm.model.Ap11.1425,0
evm.model.Ap11.1426,0
evm.model.Ap11.1427,0
evm.model.Ap11.1420,0
evm.model.Ap11.1421,0
evm.model.Ap11.1422,0
evm.model.Ap11.1423,0
evm.model.Ap11.1428,0
evm.model.Ap11.1429,0
evm.model.Ap11.598,0
evm.model.Ap11.599,0
evm.model.Ap11.78,0
evm.model.Ap11.79,0
evm.model.Ap11.1472,0
evm.model.Ap11.1477,0
evm.model.Ap11.1474,0
evm.model.Ap11.419,0
evm.model.Ap11.418,0
evm.model.Ap11.413,0
evm.model.Ap11.412,0
evm.model.Ap11.411,0
evm.model.Ap11.410,0
evm.model.Ap11.417,0
evm.model.Ap11.416,0
evm.model.Ap11.415,0
evm.model.Ap11.414,0
evm.model.Ap11.1099,0
evm.model.Ap11.1098,0
evm.model.Ap11.1091,0
evm.model.Ap11.1090,0
evm.model.Ap11.1093,0
evm.model.Ap11.1092,0
evm.model.Ap11.1095,0
evm.model.Ap11.1094,0
evm.model.Ap11.1097,0
evm.model.Ap11.1096,0
evm.model.Ap11.707,0
evm.model.Ap11.706,0
evm.model.Ap11.658,0
evm.model.Ap11.651,0
evm.model.Ap11.650,0
evm.model.Ap11.653,0
evm.model.Ap11.652,0
evm.model.Ap11.655,0
evm.model.Ap11.654,0
evm.model.Ap11.657,0
evm.model.Ap11.656,0
evm.model.Ap11.1161,0
evm.model.Ap11.1163,0
evm.model.Ap11.1116,0
evm.model.Ap11.1111,0
evm.model.Ap11.1166,0
evm.model.Ap11.71,0
evm.model.Ap11.76,0
evm.model.Ap11.74,0
evm.model.Ap11.75,0
evm.model.Ap11.1356,0
evm.model.Ap11.1357,0
evm.model.Ap11.1354,0
evm.model.Ap11.1355,0
evm.model.Ap11.1352,0
evm.model.Ap11.1353,0
evm.model.Ap11.1350,0
evm.model.Ap11.1351,0
evm.model.Ap11.1358,0
evm.model.Ap11.1359,0
evm.model.Ap11.378,0
evm.model.Ap11.379,0
evm.model.Ap11.1833,0
evm.model.Ap11.1832,0
evm.model.Ap11.1831,0
evm.model.Ap11.1830,0
evm.model.Ap11.1837,0
evm.model.Ap11.1836,0
evm.model.Ap11.1835,0
evm.model.Ap11.1834,0
evm.model.Ap11.1839,0
evm.model.Ap11.1838,0
evm.model.Ap11.1504_evm.model.Ap11.1506,0
evm.model.Ap11.949,0
evm.model.Ap11.948,0
evm.model.Ap11.941,0
evm.model.Ap11.940,0
evm.model.Ap11.943,0
evm.model.Ap11.942,0
evm.model.Ap11.945,0
evm.model.Ap11.944,0
evm.model.Ap11.947,0
evm.model.Ap11.946,0
evm.model.Ap11.497,0
evm.model.Ap11.499,0
evm.model.Ap11.498,0
evm.model.Ap11.1675,0
evm.model.Ap11.1675.1.5f15de93,0
evm.model.Ap11.1674,0
evm.model.Ap11.1677,0
evm.model.Ap11.1676,0
evm.model.Ap11.237,0
evm.model.Ap11.236,0
evm.model.Ap11.235,0
evm.model.Ap11.235.1.5f15dbca,0
evm.model.Ap11.234,0
evm.model.Ap11.233,0
evm.model.Ap11.232,0
evm.model.Ap11.231,0
evm.model.Ap11.230,0
evm.model.Ap11.239,0
evm.model.Ap11.238,0
evm.model.Ap11.853,0
evm.model.Ap11.852,0
evm.model.Ap11.851,0
evm.model.Ap11.850,0
evm.model.Ap11.857,0
evm.model.Ap11.856,0
evm.model.Ap11.856.2.5f15dc76,0
evm.model.Ap11.856.1.5f15dc76,0
evm.model.Ap11.855,0
evm.model.Ap11.854,0
evm.model.Ap11.1758,0
evm.model.Ap11.1198,0
evm.model.Ap11.1194,0
evm.model.Ap11.1195,0
evm.model.Ap11.1196,0
evm.model.Ap11.1197,0
evm.model.Ap11.1190,0
