Preferred_name,pval
SPINT3.1,19.3795923826673
enol.1,-18.9919972840339
g13255,18.860004078865
RPSA,-18.8411164306945
g20256,18.8222151519947
crml.1,18.5671762171484
NLRC5.5,18.5233954866913
DYSF.2,18.5038298151842
RPL32,-18.3549640147879
CTTN,18.3432615332228
rpl30,-18.3070128492643
HSPA9,-18.2431232392015
g19262,18.1961172893966
g28002,18.1594569679215
TNIP1,18.1382676607902
g13670,18.0490446489605
MYO18B,17.9270052673377
MYO1,17.9114270786561
KIF15,17.8765956786416
SIK2,-17.8529738253959
g7221,17.8080336710782
SNX2,-17.6640929835278
CCDC30,17.5627832881126
g20243,17.530134436274
MDH1,-17.4470668276325
g3700,17.4165245334396
g21303,17.3983087097695
APBB2,17.3599048228003
g27450,17.3387559940524
g20955,17.2925755572751
DEK,17.2924890753746
PCYT1A,17.1279022623806
g6300,-17.0375509052691
NSD1,17.0180574469593
g18665,-17.0168575159359
ITSN1,17.0053774544389
ARPC2,16.9871624724645
ACSBG1,16.9333876640574
ROR1.2,16.8337363333565
PDIA3,-16.7847285807057
PMFBP1,16.6335556115558
IRX4,16.5204789521852
g12976,-16.4784181660244
RPS12,-16.4553002616813
GIF,16.3784986738146
p120ctn,16.3687039889673
NINL,16.296758565456
g4455,-16.2485017895655
g6303,16.2389844853135
ACOT4.2,16.2002300863987
TEX9,16.158850604042
PPFIA1,16.0399511154864
PLBD2.1,16.0372632874227
ARHGEF6,15.9544099908305
FLOT1,15.8491668863329
RBM25,15.8487714834752
g17063,-15.7632653892884
SVEP1.1,15.6822979728729
GCC2,15.3002278161399
CFDP1,15.2165695269091
tud.1,15.1899852250791
CCND2,15.0162539046009
g7532,14.6116728587741
g26521,14.5403498107064
g8262,14.5222614294467
PTPRZ1.1,14.5007720226879
g4909,14.4387619098294
MOXD1.10,-14.4107602522669
ACACA,14.3803396021196
g21588,14.253024747785
g22153,14.2502253151188
SLTM,14.1842498177402
kinesin.A,14.1158060989794
FGD5,14.0692804466502
g27354,14.0241811728336
LAMP1.1,-13.9591479352727
g27326,13.904063036
CCDC150.1,13.8732243578012
NARS,-13.8531907007248
COL1A2,13.6580708617395
g5486,13.5520047663032
g12703,-13.4339855494032
ROCK2,13.4306736813467
HMCN1.40,13.4110336952843
g9400,13.3550176189494
RTF1,13.22640374963
FAM21A,13.2113644981958
RPL35A,-13.193424530967
FRY,13.1869977117685
g23998,13.1583392830804
CA9.1,13.1427222471696
g18453,-13.0990453844367
g11768,13.0345577547312
PTCHD3.2,13.0335336147253
g12420,12.8660650939182
CTNNAL1,12.8463824962626
g16965,12.8007830345268
DLG3,12.7923839819459
DNAJB5,-12.7879872503667
g8440,-12.7818162269851
awd.1,-12.7589061889075
g4046,12.7566115619221
PDIA6,-12.6657922401563
ADAMTS2,-12.6609653020273
PAK3,12.6477211715379
ATP1A1.1,12.6300994292231
g21332,-12.6300507295598
g16526,12.5317777040844
CAP1,12.4797621526098
PFKL,12.4666315534323
g11671,12.444977553813
