ASV_ID	A5	A6	B6	D5	F4	F5	G4	G5	H4	H5
ASV434	0	0	0	0	0	0	0	0	31	0
ASV435	19	0	0	0	0	0	0	0	0	0
ASV436	27	0	0	0	0	0	0	0	0	0
ASV437	10	0	0	0	17	0	0	0	0	0
ASV438	4	15	0	0	0	0	0	0	0	1
ASV440	0	0	0	0	33	0	0	0	0	0
ASV441	0	0	0	0	20	0	0	0	0	15
ASV442	0	0	0	0	12	0	0	3	0	10
ASV443	20	0	0	0	0	0	0	0	0	0
ASV445	0	25	0	0	0	0	0	0	0	2
ASV446	0	0	47	0	0	0	0	0	0	0
ASV447	0	0	0	0	37	0	0	0	0	0
ASV448	0	0	0	0	0	0	0	0	0	36
ASV449	19	0	0	0	0	0	0	0	0	0
ASV450	20	0	0	0	0	0	0	0	0	0
ASV451	25	0	0	0	0	0	0	0	0	0
ASV452	0	0	46	0	0	0	0	0	0	0
ASV456	0	0	0	0	0	0	0	0	1	38
ASV457	0	3	0	0	22	0	0	0	0	0
ASV458	0	0	45	0	0	0	0	0	0	0
ASV459	0	0	16	0	23	0	0	0	0	0
ASV463	0	0	0	0	0	0	36	0	0	0
ASV465	18	0	0	0	0	0	0	0	0	0
ASV466	15	0	0	0	0	0	0	0	0	13
ASV470	0	0	0	0	31	0	0	0	0	0
ASV471	0	0	0	0	12	0	19	0	0	0
ASV472	0	0	0	0	0	0	28	0	0	0
ASV473	21	0	0	0	0	0	0	0	0	0
ASV474	19	0	0	0	0	0	0	0	0	0
ASV475	19	0	0	0	0	0	0	0	0	0
ASV477	8	10	0	0	0	0	0	0	0	0
ASV478	0	12	0	0	0	0	0	0	0	11
ASV479	0	0	0	7	0	17	0	0	0	0
ASV481	0	0	0	0	0	0	29	0	0	0
ASV482	0	0	0	0	0	0	33	0	0	0
ASV483	0	0	0	0	0	0	0	0	39	0
ASV484	16	0	0	0	0	0	0	0	0	0
ASV485	19	0	0	0	0	0	0	0	0	0
ASV486	17	0	0	0	0	0	0	0	0	0
ASV487	10	0	0	0	19	0	0	0	0	0
ASV488	0	15	0	0	0	0	0	0	0	0
ASV489	0	3	34	0	0	0	0	0	0	0
ASV491	0	0	0	0	33	0	0	0	0	0
ASV493	0	0	0	0	0	0	30	0	0	0
ASV494	0	0	0	0	0	0	34	0	0	0
ASV495	0	0	0	0	0	0	0	2	0	0
ASV496	0	0	0	0	0	0	0	0	21	0
ASV497	0	23	0	0	0	0	0	0	0	0
ASV498	0	0	41	0	0	0	0	0	0	0
ASV499	0	0	41	0	0	0	0	0	0	0
ASV501	0	0	0	0	0	0	0	0	13	18
ASV502	20	0	0	0	0	0	0	0	0	0
ASV503	4	0	28	0	0	0	0	0	0	5
ASV504	0	17	0	0	3	0	0	0	0	0
ASV505	0	0	28	0	0	0	4	0	0	0
ASV507	0	0	0	0	25	0	0	0	0	0
ASV508	0	0	0	0	0	0	33	0	0	0
ASV509	0	0	0	0	0	0	29	0	0	0
ASV510	18	0	0	0	0	0	0	0	0	0
ASV511	21	0	0	0	0	0	0	0	0	0
ASV512	15	0	0	0	0	0	0	0	0	0
ASV513	16	0	0	0	0	0	0	0	0	0
ASV514	0	14	0	0	0	0	0	0	0	0
ASV515	0	0	39	0	0	0	0	0	0	0
ASV516	0	0	27	0	0	0	0	0	0	11
ASV520	0	0	0	10	0	14	0	0	0	0
ASV522	0	0	0	0	30	0	0	0	0	0
ASV523	0	0	0	0	22	0	0	0	0	13
ASV524	0	0	0	0	0	0	33	0	0	0
ASV525	0	0	0	0	0	0	31	0	0	0
ASV526	0	0	0	0	0	0	0	4	0	0
ASV528	14	0	0	0	0	0	0	0	0	0
ASV529	19	0	0	0	0	0	0	0	0	0
ASV530	15	0	0	0	0	0	0	0	0	10
ASV531	10	9	0	0	0	0	0	0	0	0
ASV532	0	15	0	0	0	0	0	0	0	0
ASV533	0	18	0	0	0	0	0	0	0	0
ASV534	0	0	38	0	0	0	0	0	0	0
ASV535	0	0	0	0	0	0	0	4	0	0
ASV536	20	0	0	0	0	0	0	0	0	0
ASV537	0	12	0	0	0	0	0	0	0	0
ASV538	0	17	0	0	0	0	0	0	0	0
ASV539	0	0	37	0	0	0	0	0	0	0
ASV541	0	0	0	13	0	12	0	0	0	0
ASV544	0	0	0	0	0	0	30	0	0	0
ASV545	0	0	0	0	0	0	30	0	0	0
ASV546	0	0	0	0	0	0	29	0	0	0
ASV547	0	0	0	0	0	0	0	0	20	0
ASV548	0	0	0	0	0	0	0	0	26	0
ASV549	0	0	0	0	0	0	0	0	23	0
ASV550	19	0	0	0	0	0	0	0	0	0
ASV551	0	17	0	0	0	0	0	0	0	1
ASV552	0	5	0	0	0	0	0	0	0	18
ASV553	0	0	0	0	24	0	0	0	0	0
ASV554	0	0	0	0	13	0	0	0	8	0
ASV555	0	0	0	0	0	0	0	5	0	0
ASV556	0	0	0	0	0	0	0	2	0	0
ASV557	0	0	0	0	0	0	0	5	5	0
ASV558	0	0	0	0	0	0	0	2	0	20
ASV559	0	0	0	0	0	0	0	0	13	13
ASV560	0	0	0	0	0	0	0	0	0	31
ASV561	16	0	0	0	0	0	0	0	0	0
ASV562	15	0	0	0	0	0	0	0	0	0
ASV563	12	0	0	0	0	0	0	0	0	0
ASV564	14	0	0	0	0	0	0	0	0	0
ASV565	15	0	0	0	0	0	0	0	0	0
ASV566	16	0	0	0	0	0	0	0	0	0
ASV567	22	0	0	0	0	0	0	0	0	0
ASV568	0	15	0	0	0	0	0	0	0	0
ASV569	0	19	0	0	0	0	0	0	0	0
ASV570	0	15	0	0	0	0	0	0	0	0
ASV571	0	0	35	0	0	0	0	0	0	0
ASV572	0	0	35	0	0	0	0	0	0	0
ASV573	0	0	35	0	0	0	0	0	0	0
ASV577	0	0	0	0	26	0	0	0	0	0
ASV578	0	0	0	0	23	0	0	0	0	0
ASV579	0	0	0	0	24	0	0	0	0	0
ASV580	0	0	0	0	27	0	0	0	0	1
ASV581	0	0	0	0	0	0	27	0	0	0
ASV582	0	0	0	0	0	0	0	2	0	21
ASV583	0	0	0	0	0	0	0	0	15	10
ASV584	0	0	0	0	0	0	0	0	0	31
ASV585	12	0	0	0	0	0	0	0	0	0
ASV586	12	0	0	0	0	0	0	0	0	0
ASV587	14	0	0	0	0	0	0	0	0	0
ASV588	0	12	0	0	0	0	0	0	0	0
ASV589	0	12	0	0	0	0	0	0	0	10
ASV590	0	0	34	0	0	0	0	0	0	0
ASV591	0	0	34	0	0	0	0	0	0	0
ASV592	0	0	34	0	0	0	0	0	0	0
ASV593	0	0	34	0	0	0	0	0	0	0
ASV594	0	0	0	0	23	0	0	0	0	0
ASV595	0	0	0	0	0	0	0	0	0	30
ASV596	19	0	0	0	0	0	0	0	0	0
ASV598	15	0	0	0	0	0	0	0	0	0
ASV599	0	5	0	0	0	0	11	0	0	0
ASV600	0	0	33	0	0	0	0	0	0	0
ASV601	0	0	0	13	0	12	0	0	0	0
ASV605	0	0	0	0	26	0	0	0	0	0
ASV606	0	0	0	0	19	0	5	0	1	0
ASV608	0	0	0	0	0	0	0	7	0	0
ASV609	15	0	0	0	0	0	0	0	0	0
ASV610	11	0	0	0	0	0	0	0	0	0
ASV611	0	0	32	0	0	0	0	0	0	0
ASV612	0	0	32	0	0	0	0	0	0	0
ASV614	0	0	0	0	22	0	0	0	0	0
ASV615	0	0	0	0	0	0	26	0	0	0
ASV616	0	0	0	0	0	0	27	0	0	0
